Sample,Period,Year,NDVI,Stage
1,Q1,2019,0.66103816,Tunas
2,Q1,2019,0.59306204,Tunas
3,Q1,2019,0.6531758,Tunas
4,Q1,2019,0.64904314,Tunas
5,Q1,2019,0.6881782,Tunas
6,Q1,2019,0.66818476,Tunas
7,Q1,2019,0.61829025,Tunas
8,Q1,2019,0.65189314,Tunas
9,Q1,2019,0.6559072,Tunas
10,Q1,2019,0.59306204,Tunas
11,Q1,2019,0.6395679,Tunas
12,Q1,2019,0.5257181,Tunas
13,Q1,2019,0.6419214,Tunas
14,Q1,2019,0.62458694,Tunas
15,Q1,2019,0.6007557,Tunas
16,Q1,2019,0.7743992,Tunas
17,Q1,2019,0.55519164,Tunas
18,Q1,2019,0.6828904,Tunas
19,Q1,2019,0.68781954,Tunas
20,Q1,2019,0.64039576,Tunas
21,Q1,2019,0.6306761,Tunas
22,Q1,2019,0.74986166,Tunas
23,Q1,2019,0.655082,Tunas
24,Q1,2019,0.6190182,Tunas
25,Q1,2019,0.69522566,Tunas
26,Q1,2019,0.7105188,Tunas
27,Q1,2019,0.64829767,Tunas
28,Q1,2019,0.6580882,Tunas
29,Q1,2019,0.6559072,Tunas
30,Q1,2019,0.7075537,Tunas
31,Q1,2019,0.6629508,Tunas
32,Q1,2019,0.64507383,Tunas
33,Q1,2019,0.6487716,Tunas
34,Q1,2019,0.6867771,Tunas
35,Q1,2019,0.724846,Tunas
36,Q1,2019,0.7605914,Tunas
37,Q1,2019,0.7331745,Tunas
38,Q1,2019,0.5690681,Tunas
39,Q1,2019,0.68292683,Tunas
40,Q1,2019,0.6200334,Tunas
41,Q1,2019,0.700395,Tunas
42,Q1,2019,0.6946848,Tunas
43,Q1,2019,0.61568123,Tunas
44,Q1,2019,0.7329513,Tunas
45,Q1,2019,0.70562226,Tunas
46,Q1,2019,0.6532357,Tunas
47,Q1,2019,0.6486566,Tunas
48,Q1,2019,0.52564543,Tunas
49,Q1,2019,0.62589437,Tunas
50,Q1,2019,0.65298015,Tunas
1,Q2,2019,0.68262804,Tumbuh
2,Q2,2019,0.62789226,Tumbuh
3,Q2,2019,0.5770263,Tumbuh
4,Q2,2019,0.6540035,Tumbuh
5,Q2,2019,0.6232036,Tumbuh
6,Q2,2019,0.5448276,Tumbuh
7,Q2,2019,0.637221,Tumbuh
8,Q2,2019,0.6030618,Tumbuh
9,Q2,2019,0.65938866,Tumbuh
10,Q2,2019,0.62789226,Tumbuh
11,Q2,2019,0.64681077,Tumbuh
12,Q2,2019,0.5815764,Tumbuh
13,Q2,2019,0.63564235,Tumbuh
14,Q2,2019,0.5587302,Tumbuh
15,Q2,2019,0.6297156,Tumbuh
16,Q2,2019,0.6735588,Tumbuh
17,Q2,2019,0.6050033,Tumbuh
18,Q2,2019,0.637976,Tumbuh
19,Q2,2019,0.6787383,Tumbuh
20,Q2,2019,0.5301866,Tumbuh
21,Q2,2019,0.5389628,Tumbuh
22,Q2,2019,0.6986755,Tumbuh
23,Q2,2019,0.67011434,Tumbuh
24,Q2,2019,0.655527,Tumbuh
25,Q2,2019,0.61265296,Tumbuh
26,Q2,2019,0.71428573,Tumbuh
27,Q2,2019,0.63552266,Tumbuh
28,Q2,2019,0.66888183,Tumbuh
29,Q2,2019,0.65938866,Tumbuh
30,Q2,2019,0.6661347,Tumbuh
31,Q2,2019,0.5536323,Tumbuh
32,Q2,2019,0.5664096,Tumbuh
33,Q2,2019,0.66629213,Tumbuh
34,Q2,2019,0.67962676,Tumbuh
35,Q2,2019,0.7039794,Tumbuh
36,Q2,2019,0.5696926,Tumbuh
37,Q2,2019,0.56055623,Tumbuh
38,Q2,2019,0.6061313,Tumbuh
39,Q2,2019,0.63211507,Tumbuh
40,Q2,2019,0.55886483,Tumbuh
41,Q2,2019,0.6816917,Tumbuh
42,Q2,2019,0.6627365,Tumbuh
43,Q2,2019,0.50711936,Tumbuh
44,Q2,2019,0.6881806,Tumbuh
45,Q2,2019,0.6082474,Tumbuh
46,Q2,2019,0.6687517,Tumbuh
47,Q2,2019,0.6454924,Tumbuh
48,Q2,2019,0.60454834,Tumbuh
49,Q2,2019,0.5542603,Tumbuh
50,Q2,2019,0.62155616,Tumbuh
1,Q4,2019,0.34135666,Pembibitan
2,Q4,2019,0.24079916,Pembibitan
3,Q4,2019,0.2990249,Pembibitan
4,Q4,2019,0.32331663,Pembibitan
5,Q4,2019,0.28142494,Pembibitan
6,Q4,2019,0.34477034,Pembibitan
7,Q4,2019,0.24755533,Pembibitan
8,Q4,2019,0.29682365,Pembibitan
9,Q4,2019,0.3201581,Pembibitan
10,Q4,2019,0.24079916,Pembibitan
