province,month,year,yield,stage,area,cgdd,avg_min_temp,avg_max_temp,avg_temp,min_ind_temp,max_ind_temp,lat,lon,radius,avg_ndvi
Lampung,1,2019,0,,129482,9.06451613,23.99310345,31.98275862,27.06451613,24,32,-4.707593924,105.2062874,20.30157646,7176
Lampung,2,2019,0,,129482,9,23.744,32.34814815,27,23.7,32.3,-4.707593924,105.2062874,20.30157646,7631
Lampung,3,2019,0,,129482,8.91612903,23.76896552,32.33870968,26.91612903,23.8,32.3,-4.707593924,105.2062874,20.30157646,7402
Lampung,4,2019,2665,,129482,9.03333333,24.025,32.64827586,27.03333333,24.1,32.6,-4.707593924,105.2062874,20.30157646,6828
Lampung,5,2019,46968,,129482,9.31612903,23.94137931,32.51935484,27.31612903,24,32.5,-4.707593924,105.2062874,20.30157646,6892
Lampung,6,2019,111458,,129482,8.99,23.42857143,32.52333333,26.99,23.4,32.5,-4.707593924,105.2062874,20.30157646,6332
Lampung,7,2019,111383,,129482,8.41612903,22.5,31.9483871,26.41612903,22.2,31.9,-4.707593924,105.2062874,20.30157646,4156
Lampung,8,2019,149875,,129482,8.51612903,21.9,33.07741935,26.51612903,21.9,33.1,-4.707593924,105.2062874,20.30157646,4690
Lampung,9,2019,112952,,129482,9.13333333,21.96666667,34.51,27.13333333,22.1,34.5,-4.707593924,105.2062874,20.30157646,4261
Lampung,10,2019,83440,,129482,9.9483871,23.26923077,35.1,27.9483871,23.3,35.1,-4.707593924,105.2062874,20.30157646,3743
Lampung,11,2019,40325,,129482,10.62,23.76923077,35.05,28.62,24,35,-4.707593924,105.2062874,20.30157646,4278
Lampung,12,2019,69955,,129482,9.74516129,24.22222222,33.54333333,27.74516129,24.3,33.5,-4.707593924,105.2062874,20.30157646,4473
Jawa Timur,1,2019,0,,176871,8.03548387,22.54516129,31.25483871,26.03548387,24,32,-7.303611702,112.2186007,23.72757634,6724
Jawa Timur,2,2019,0,,176871,8.16071429,22.92142857,31.48571429,26.16071429,23.7,32.3,-7.303611702,112.2186007,23.72757634,8140
Jawa Timur,3,2019,0,,176871,7.76451613,22.66129032,30.99032258,25.76451613,23.8,32.3,-7.303611702,112.2186007,23.72757634,6041
Jawa Timur,4,2019,0,,176871,8.44666667,23.00666667,31.89333333,26.44666667,24.1,32.6,-7.303611702,112.2186007,23.72757634,7719
Jawa Timur,5,2019,0,,176871,8.24193548,22.1,31.8,26.24193548,24,32.5,-7.303611702,112.2186007,23.72757634,7614
Jawa Timur,6,2019,162350,,176871,6.46333333,19.86666667,30.79666667,24.46333333,23.4,32.5,-7.303611702,112.2186007,23.72757634,5400
Jawa Timur,7,2019,257133,,176871,5.9,19.5483871,30.16774194,23.9,22.2,31.9,-7.303611702,112.2186007,23.72757634,4033
Jawa Timur,8,2019,268460,,176871,6.18387097,20.03333333,30.80967742,24.18387097,21.9,33.1,-7.303611702,112.2186007,23.72757634,4217
Jawa Timur,9,2019,207199,,176871,7.41666667,20.66666667,31.99333333,25.41666667,22.1,34.5,-7.303611702,112.2186007,23.72757634,3631
Jawa Timur,10,2019,88966,,176871,8.82258065,21.67741935,33.90322581,26.82258065,23.3,35.1,-7.303611702,112.2186007,23.72757634,3153
Jawa Timur,11,2019,19054,,176871,9.42333333,23,33.52,27.42333333,24,35,-7.303611702,112.2186007,23.72757634,3829
